Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Dragon,Toledo,41,10,101,0.50821,5.8571428571,0.50894,0.00073,
Dragon,Toledo,39,10,102,0.50442,5.5714285714,0.50473,0.00031,
Dragon,Toledo,79,10,103,0.50273,11.2857142857,0.50467,0.00194,
Dragon,Toledo,52,10,104,0.50195,7.4285714286,0.50288,0.00093,
Dragon,Toledo,34,10,105,0.5036,4.8571428571,0.50394,0.00034,
Dragon,Toledo,34,10,106,0.50094,4.8571428571,0.50089,-0.00005,
Dragon,Toledo,75,10,107,0.50121,10.7142857143,0.50305,0.00184,
Dragon,Toledo,54,10,108,0.50451,7.7142857143,0.50547,0.00096,
Dragon,Toledo,78,10,109,0.50418,11.1428571429,0.5061,0.00192,in at 13:04 on 28/04/17
Red Chiro,Penalara,100,,1,0.50906,12.2549019608,0.50939,0.00033,in at 12:50 on 29/05/17/out at 10:02 on 30/05/17
Red Chiro,Penalara,120,,2,0.51105,14.7058823529,0.51162,0.00057,
Red Chiro,Penalara,82,,3,0.51318,10.0490196078,0.51356,0.00038,
Red Chiro,Penalara,50,,4,0.50718,6.1274509804,0.50724,0.00006,
Red Chiro,Penalara,69,,5,0.50839,8.4558823529,0.50873,0.00034,
Red Chiro,Penalara,105,,6,0.5071,12.8676470588,0.50773,0.00063,
Red Chiro,Penalara,83,,7,0.50955,10.1715686275,0.50993,0.00038,
Red Chiro,Penalara,95,,8,0.51699,11.6421568627,0.5174,0.00041,
Red Chiro,Penalara,77,,9,0.51147,9.4362745098,0.51153,0.00006,
Red Chiro,Penalara,104,,10,0.51574,12.7450980392,0.51652,0.00078,
Red Chiro,Penalara,63,,11,0.51308,7.7205882353,0.51348,0.0004,
Red Chiro,Penalara,85,,12,0.51436,10.4166666667,0.5151,0.00074,
Red Chiro,Penalara,57,,13,0.51253,6.9852941176,0.51278,0.00025,
Red Chiro,Penalara,94,,14,0.5126,11.5196078431,0.51298,0.00038,
Red Chiro,Penalara,55,,15,0.51187,6.7401960784,0.51202,0.00015,
Red Chiro,Penalara,57,,16,0.51419,6.9852941176,0.51439,0.0002,
Red Chiro,Penalara,79,,17,0.51402,9.681372549,0.51434,0.00032,
Red Chiro,Penalara,67,,18,0.51265,8.2107843137,0.51283,0.00018,
Red Chiro,Penalara,56,,19,0.5103,6.862745098,0.51039,0.00009,
Red Chiro,Penalara,61,,20,0.51023,7.4754901961,0.51051,0.00028,
Red Chiro,Penalara,89,,21,0.50609,10.9068627451,0.50626,0.00017,
Red Chiro,Penalara,44,,22,0.50604,5.3921568627,0.50608,0.00004,
Red Chiro,Penalara,66,,23,0.50185,8.0882352941,0.50234,0.00049,
Red Chiro,Penalara,48,,24,0.50403,5.8823529412,0.50406,0.00003,
Red Chiro,Penalara,56,,25,0.50228,6.862745098,0.5023,0.00002,
Red Chiro,Penalara,66,,26,0.50317,8.0882352941,0.50345,0.00028,
Red Chiro,Penalara,49,,27,0.50051,6.0049019608,0.50054,0.00003,
Red Chiro,Penalara,57,,28,0.50153,6.9852941176,0.50158,0.00005,
Red Chiro,Penalara,52,,29,0.50076,6.3725490196,0.5011,0.00034,
Red Chiro,Penalara,63,,30,0.50249,7.7205882353,0.50271,0.00022,
Red Chiro,Penalara,54,,31,0.50289,6.6176470588,0.503,0.00011,
Red Chiro,Penalara,90,,32,0.49996,11.0294117647,0.50068,0.00072,
Red Chiro,Penalara,42,,33,0.48878,5.1470588235,0.4888,0.00002,
Red Chiro,Penalara,49,,34,0.51591,6.0049019608,0.51596,0.00005,
Red Chiro,Penalara,92,,35,0.51478,11.2745098039,0.51513,0.00035,
Red Chiro,Penalara,93,,36,0.51108,11.3970588235,0.51144,0.00036,
Red Chiro,Penalara,70,,37,0.51505,8.5784313725,0.51535,0.0003,
Red Chiro,Penalara,50,,38,0.5119,6.1274509804,0.5121,0.0002,
Red Chiro,Penalara,54,,39,0.50841,6.6176470588,0.50849,0.00008,
Red Chiro,Penalara,56,,40,0.51325,6.862745098,0.51332,0.00007,
Red Chiro,Penalara,79,,41,0.50587,9.681372549,0.50601,0.00014,
Red Chiro,Penalara,70,,42,0.5045,8.5784313725,0.50469,0.00019,
Red Chiro,Penalara,56,,43,0.50934,6.862745098,0.50951,0.00017,
Red Chiro,Penalara,55,,44,0.50993,6.7401960784,0.51008,0.00015,
Red Chiro,Penalara,58,,45,0.51123,7.1078431373,0.5114,0.00017,
Red Chiro,Penalara,59,,46,0.51185,7.2303921569,0.51218,0.00033,
Red Chiro,Penalara,62,,47,0.50903,7.5980392157,0.50925,0.00022,
Red Chiro,Penalara,57,,48,0.50924,6.9852941176,0.50943,0.00019,
Red Chiro,Penalara,58,,49,0.50772,7.1078431373,0.50783,0.00011,
Red Chiro,Penalara,56,,50,0.50866,6.862745098,0.50876,0.0001,
Red Chiro,Penalara,57,,51,0.50616,6.9852941176,0.50626,0.0001,
Red Chiro,Penalara,53,,52,0.51137,6.4950980392,0.51142,0.00005,
Red Chiro,Penalara,54,,53,0.5077,6.6176470588,0.5078,0.0001,
Red Chiro,Penalara,54,,54,0.51246,6.6176470588,0.51253,0.00007,
Red Chiro,Penalara,60,,55,0.50983,7.3529411765,0.51029,0.00046,
Red Chiro,Penalara,46,,56,0.51686,5.637254902,0.51693,0.00007,
Red Chiro,Penalara,53,,57,0.51084,6.4950980392,0.51104,0.0002,
Red Chiro,Penalara,54,,58,0.51307,6.6176470588,0.51331,0.00024,
