Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Ephemeroptera,Murcia,60,,142,0.50799,7.3529411765,0.50873,0.00074,
Ephemeroptera,Murcia,62,,143,0.50809,7.5980392157,0.50902,0.00093,
Ephemeroptera,Murcia,57,,144,0.50792,6.9852941176,0.50888,0.00096,
Ephemeroptera,Murcia,66,,145,0.5081,8.0882352941,0.50912,0.00102,
Ephemeroptera,Murcia,73,,146,0.50817,8.9460784314,0.51013,0.00196,
Ephemeroptera,Murcia,70,,147,0.50828,8.5784313725,0.50964,0.00136,
Ephemeroptera,Murcia,63,,148,0.50823,7.7205882353,0.50939,0.00116,
Ephemeroptera,Murcia,54,,149,0.50818,6.6176470588,0.50887,0.00069,
Ephemeroptera,Murcia,63,,150,0.50813,7.7205882353,0.50893,0.0008,
Ephemeroptera,Murcia,65,,151,0.50816,7.9656862745,0.50909,0.00093,
Ephemeroptera,Murcia,56,,152,0.50816,6.862745098,0.50872,0.00056,
Ephemeroptera,Murcia,68,,153,0.5082,8.3333333333,0.50909,0.00089,
Ephemeroptera,Murcia,73,,154,0.50825,8.9460784314,0.50945,0.0012,
Ephemeroptera,Murcia,80,,155,0.50822,9.8039215686,0.51011,0.00189,
Ephemeroptera,Murcia,57,,156,0.50829,6.9852941176,0.50911,0.00082,
Ephemeroptera,Murcia,61,,157,0.50838,7.4754901961,0.50931,0.00093,
Ephemeroptera,Murcia,50,,158,0.50829,6.1274509804,0.50896,0.00067,
Ephemeroptera,Murcia,64,,159,0.50822,7.8431372549,0.50933,0.00111,
Ephemeroptera,Murcia,72,,161,0.50818,8.8235294118,0.51009,0.00191,
Ephemeroptera,Murcia,51,,162,0.5083,6.25,0.50881,0.00051,
Ephemeroptera,Murcia,59,,163,0.5082,7.2303921569,0.50897,0.00077,
Ephemeroptera,Murcia,51,,164,0.50827,6.25,0.50874,0.00047,
Ephemeroptera,Murcia,69,,165,0.50829,8.4558823529,0.50914,0.00085,
Ephemeroptera,Murcia,62,,166,0.5082,7.5980392157,0.50931,0.00111,
Ephemeroptera,Murcia,73,,167,0.50825,8.9460784314,0.50953,0.00128,
Ephemeroptera,Murcia,65,,168,0.50809,7.9656862745,0.50996,0.00187,
Ephemeroptera,Murcia,64,,169,0.50814,7.8431372549,0.50931,0.00117,
Ephemeroptera,Murcia,65,,170,0.50811,7.9656862745,0.50952,0.00141,
Ephemeroptera,Murcia,58,,171,0.50811,7.1078431373,0.50892,0.00081,
Ephemeroptera,Murcia,63,,172,0.50804,7.7205882353,0.5091,0.00106,
Ephemeroptera,Murcia,60,,173,0.50811,7.3529411765,0.50868,0.00057,
Ephemeroptera,Murcia,70,,174,0.50798,8.5784313725,0.50977,0.00179,
Ephemeroptera,Murcia,60,,175,0.50819,7.3529411765,0.50899,0.0008,
Ephemeroptera,Murcia,60,,176,0.50803,7.3529411765,0.50903,0.001,
Ephemeroptera,Murcia,67,,177,0.50788,8.2107843137,0.50917,0.00129,
Ephemeroptera,Murcia,60,,178,0.50792,7.3529411765,0.50877,0.00085,
Ephemeroptera,Murcia,65,,179,0.50791,7.9656862745,0.50875,0.00084,
Ephemeroptera,Murcia,61,,180,0.5077,7.4754901961,0.50879,0.00109,
Ephemeroptera,Murcia,62,,181,0.50776,7.5980392157,0.50857,0.00081,
Ephemeroptera,Murcia,64,,182,0.50774,7.8431372549,0.50947,0.00173,
Ephemeroptera,Murcia,63,,183,0.50775,7.7205882353,0.50868,0.00093,
Ephemeroptera,Murcia,69,,184,0.50772,8.4558823529,0.50927,0.00155,
Ephemeroptera,Murcia,63,,185,0.50771,7.7205882353,0.50883,0.00112,
Ephemeroptera,Murcia,64,,186,0.50766,7.8431372549,0.50917,0.00151,
Ephemeroptera,Murcia,62,,187,0.50763,7.5980392157,0.50879,0.00116,
Ephemeroptera,Murcia,62,,188,0.5076,7.5980392157,0.50844,0.00084,
Ephemeroptera,Murcia,73,,189,0.50773,8.9460784314,0.50895,0.00122,
Ephemeroptera,Murcia,51,,190,0.50753,6.25,0.50793,0.0004,
Ephemeroptera,Murcia,53,,191,0.50764,6.4950980392,0.50807,0.00043,
