"","Genus","species","Model","site","constant_strt","E_a_strt","E_d_strt","T_pk_strt","B0_end","B0_se","Ea_end","Ea_se","Ed_end","Ed_se","Tpk_end","Tpk_se","AIC","BIC","R2","AIC.m","BIC.m","R2.m","b","b_se"
"1","Chironomus",NA,"No Mass","Toledo",3.72772169037426,0.293808236353722,2.45411338769398,277.733520915955,0.0332345237822223,0.0665065118061395,1.59809369751956,2.93375706074703,1.5981755043046,3.06002729110959,346.00609572436,16782.7430161631,-112.736011090213,-99.3253549545922,0.141572155372082,-109.574262484918,-96.1636063492971,0.115797212754022,"NA","NA"
"2","Chironomus",NA,"No Mass","Evora",28.3890670793171,0.845587617766506,2.20000720598361,354.583449034643,0.0406082461931964,0.0130032523147196,1.28514146019596,0.388228315708127,1.28540189882398,0.252207437758438,353.15,5791.4257360449,-390.267132907702,-374.767800768581,0.277019787145508,-384.715719089188,-369.216386950067,0.251768245496945,"NA","NA"
"3","Chironomus",NA,"No Mass","Porto",32.5851928064188,0.348955162413326,2.23425997613816,330.821032224655,0.036887775710295,0.0211211344082578,0.697487251975402,0.479761981677133,0.715899859901458,0.360581015123136,353.15,623.323927233229,-198.907471974624,-185.405070145662,0.323011386991342,-191.447064485379,-177.944662656417,0.272447318769414,"NA","NA"
"4","Chironomus",NA,"No Mass","Penalara",23.3184975576033,1.95982204962634,2.35916949730554,308.474648465361,0.00358580790752955,0.000900288994083379,0.922114248483593,0.0873432455973664,7.32032985151342,5.81814564554054,313.693093317011,2.58317895823396,-254.198197301702,-241.222598051029,0.643214700887024,-212.841086024407,-199.865486773734,0.423159569882937,"NA","NA"
"5","Cloeon","dipterum","No Mass","Murcia",21.3960122147862,3.59144927392879,0.229615958519505,323.856264263248,0.0742874473659233,0.0125666268954369,0.917180355246235,0.24647040990568,1.48237306936392,1.2974594413082,315.984253080793,10.0686946584902,-12.2498760928837,-2.49365749997657,0.630271920687215,-2.76361455066733,6.99260404223979,0.522017368991794,"NA","NA"
"6","Cloeon","dipterum","No Mass","Toledo",16.6789071020375,3.1518001739993,0.264131256980167,325.925734292679,0.0221831859736971,0.00360684493718735,1.56193834013624,0.147625224489349,2.23307769124877,0.352591441161343,310.130681572626,1.33504066130306,14.520421908134,26.7921583894015,0.74413537655969,27.5076951488491,39.7794316301166,0.700196955571872,"NA","NA"
"7","Cloeon","dipterum","No Mass","Evora",25.8089345758416,0.110092831046506,0.417107536335046,305.161415722043,0.173154552889481,0.0673332506396101,0.913352642516813,0.370238773339919,0.920003919293753,0.250637483977554,353.15,951.454324282667,91.3617291179247,104.81846852907,0.479524694128488,91.3617416565021,104.818481067648,0.479524634256741,"NA","NA"
"8","Cloeon","dipterum","No Mass","Porto",27.9540778126213,1.95491147616539,1.08137081753755,334.927745789387,0.0867026880658794,0.00724384047482883,0.848098665631316,0.0845443037623628,1.88739825212542,0.429931317079537,310.744665912791,0.969189290869085,-20.8799724099398,-7.75510834351844,0.637349766934702,-12.3979344890805,0.726929577340823,0.604385083062076,"NA","NA"
"9","Sympetrum","striolatum","No Mass","Toledo",12.0952832032911,0.124800478227904,0.334247819963283,319.010585978402,0.0228912887361125,0.00761022963377552,1.649880480722,0.700032613335926,1.64994553014633,1.07910582892749,353.15,45454.6320573915,-33.6538158770791,-22.0663753093975,0.264472004963515,-33.355747236199,-21.7683066685174,0.261530992349694,"NA","NA"
"10","Sympetrum","striolatum","No Mass","Evora",32.1891782641323,1.31856248100474,1.35328571711082,289.143296496594,0.406373759605869,0.0378813299081043,0.752602862163846,0.0855308646731816,2.93942858437583,0.443522441052175,307.484349499342,1.1290188978758,289.209880724456,302.757531731018,0.426168345459436,297.700775365939,311.248426372501,0.371818873097336,"NA","NA"
"11","Sympetrum","striolatum","No Mass","Porto",21.7626089440547,1.92216790957036,0.784926342999838,328.247880518352,0.0849808329303972,0.0120579139269843,0.873031196061434,0.0932121990405214,3.51219030541359,1.00615139855812,310.474230784581,1.33438973472692,130.369515589308,143.085989500658,0.422770227528286,152.086195259312,164.802669170662,0.271965886830044,"NA","NA"
"12","Sympetrum","striolatum","No Mass","Jaca",29.8968131056125,0.815751261262701,1.6315025225254,303.15,0.0229139721568399,0.00588538925920073,1.56569223925287,0.466893644816605,1.91832609790671,0.322229455077865,302.434597569172,2.62084726322352,11.8480934531195,24.9236960373257,0.0144126627069749,11.8480934531195,24.9236960373257,0.0144126627069749,"NA","NA"
"13","Chironomus",NA,"0.75 Mass Corrected","Toledo",15.8589255720232,0.34255335659183,2.45411338769398,312.858194577635,0.106709767384236,0.0427044355239381,1.24075161437167,0.689945740639038,1.24102542163387,0.470611975868082,353.15,8718.53720336566,11.4148668718266,24.8255230074477,0.202221152610625,13.6896036797191,27.1002598153401,0.185016078995646,"NA","NA"
"14","Chironomus",NA,"0.75 Mass Corrected","Evora",35.7676362611668,1.58244576304825,2.20000720598361,338.270997596354,0.0724589065942799,0.00416825712630513,0.596336214455877,0.0375678927794268,29.7080336271968,1973847.6604234,316.610447656196,82081.2168170958,-280.941354983686,-265.442022844565,0.675710661552529,-207.294570192114,-191.795238052993,0.457718355068522,"NA","NA"
"15","Chironomus",NA,"0.75 Mass Corrected","Porto",25.8228089471543,1.37337653429853,2.23425997613816,334.360132932099,0.0727310146705274,0.0241790427174373,0.837108407652683,0.371364725475464,0.844725178191155,0.16992372254551,353.15,751.447187781096,-45.070542771188,-31.5681409422258,0.37751700974557,-37.9208241401967,-24.4184223112346,0.332875982454416,"NA","NA"
