,Genus,species,Model,site,constant_strt,E_a_strt,E_d_strt,T_pk_strt,B0_end,B0_se,Ea_end,Ea_se,Ed_end,Ed_se,Tpk_end,Tpk_se,AIC,BIC,R2,AIC.m,BIC.m,R2.m,b,b_se
20,Cloeon,dipterum,0.75 Mass Corrected,Porto,32.63174676,0.952273431,1.081370818,331.1459956,0.138582637,0.009328453,0.771744133,0.046926387,3.161762375,0.575575095,310.8576736,0.829367853,-1.526159359,11.59870471,0.747020642,33.47241941,46.59728348,0.62646653,NA,NA
21,Sympetrum,striolatum,0.75 Mass Corrected,Toledo,35.91963772,3.439678772,0.33424782,327.3332151,0.10036681,0.016166141,0.766026232,0.098560996,3.219629836,1.125464083,312.0764254,1.261227215,-2.867100802,8.516229793,0.600455282,23.27891855,34.66224915,0.422683808,NA,NA
22,Sympetrum,striolatum,0.75 Mass Corrected,Evora,23.26218498,0.377350965,1.353285717,272.5508332,0.265904494,0.020093321,0.772087855,0.07083998,2.883794438,0.384212231,307.8625903,0.949307424,88.59160763,102.1392586,0.636219226,103.871439,117.41909,0.565012956,NA,NA
23,Sympetrum,striolatum,0.75 Mass Corrected,Porto,14.50010391,0.752526352,0.784926343,295.3994432,0.100837438,0.010738279,0.807697267,0.06554242,5.15512793,1.094691165,311.4490171,1.024153137,85.23411024,97.95058415,0.532299009,117.1676737,129.8841476,0.33829587,NA,NA
24,Sympetrum,striolatum,0.75 Mass Corrected,Jaca,29.89681306,0.81575126,1.63150252,303.15,0.049588341,0.006737134,0.903533686,0.084110671,3.238141895,0.551593805,308.8122687,1.05475084,-43.32610515,-30.25050256,0.552875704,-7.179327961,5.896274623,0.347801387,NA,NA
25,Chironomus,NA,Free Mass Scaling,Toledo,22.78464966,1.498107063,2.427076112,280.4116614,0.182110649,0.060652106,0.533954693,0.076280753,29.42379298,3373200.888,316.5677748,146219.6242,-172.8575896,-156.7648023,0.517054975,-128.8996241,-112.8068367,0.271929167,1.377983712,0.2620166
26,Chironomus,NA,Free Mass Scaling,Evora,5.950871842,0.516191514,2.204844397,287.5586128,0.083766152,0.048732205,0.597608718,0.042265004,28.67133096,1460831.969,316.5900766,63415.19771,-504.0368242,-485.4376256,0.643095192,-467.9156356,-449.316437,0.531529083,0.942720618,0.517719006
27,Chironomus,NA,Free Mass Scaling,Porto,22.97074912,1.200375801,2.197730876,296.4465105,0.074175341,0.017911089,0.614021251,0.039839185,27.89261378,977028.8066,316.65,41200.13029,-285.0175889,-268.8147067,0.696113769,-226.479658,-210.2767758,0.463606358,0.909628048,0.257108856
28,Chironomus,NA,Free Mass Scaling,Penalara,34.40850929,1.673257314,2.753693412,329.2291848,0.010418971,0.005636624,0.912227431,0.087046861,30.11611369,3119480.281,316.5913554,130022.8691,-251.6429623,-236.0722432,0.641208072,-208.0655902,-192.4948711,0.399958113,0.799585632,0.535642672
29,Cloeon,dipterum,Free Mass Scaling,Murcia,34.91032986,0.921027605,1.842055211,308.15,0.116743212,0.03207357,0.892741717,0.133451047,2.768932625,2.104221742,312.8647566,1.830466336,-9.223776411,2.4836859,0.622903735,-2.361224665,9.346237646,0.569188511,0.717137059,0.358770699
30,Cloeon,dipterum,Free Mass Scaling,Toledo,48.46280188,3.993385511,0.277745625,323.3336097,0.033055463,0.005994515,1.592975682,0.169095239,2.174185586,0.339851268,310.0208556,1.499036757,6.542548659,21.26863244,0.772163855,17.92284559,32.64892937,0.738975518,0.217634715,0.325759998
31,Cloeon,dipterum,Free Mass Scaling,Evora,36.29056152,0.884525123,0.89826983,295.0308222,0.196668318,0.029435168,0.665011351,0.056785695,4.175643684,1.498550216,312.1471331,1.54023844,59.84491766,75.99300495,0.617301007,80.10025824,96.24834553,0.533710631,0.616656976,0.295239453
32,Cloeon,dipterum,Free Mass Scaling,Porto,37.19420628,2.442451194,1.369880829,327.1858804,0.070514324,0.010508434,0.970384782,0.158031646,1.342289721,0.328231814,313.15,4.487249323,-15.13026879,0.619568095,0.623770013,-15.122642,0.627194879,0.623735388,-0.737055835,0.374293574
33,Sympetrum,striolatum,Free Mass Scaling,Toledo,44.43260802,4.586205319,0.39368543,320.9412199,0.250333892,0.08454999,0.973744607,0.10814697,4.304789004,1.613805198,312.9960293,1.232683618,-35.04211153,-21.38211481,0.290361514,-20.35011654,-6.690119828,0.128778245,2.630493804,0.52810793
34,Sympetrum,striolatum,Free Mass Scaling,Evora,14.04936501,0.164114245,1.18332698,303.0903561,0.188979431,0.073381508,0.802174346,0.095890821,2.563768318,0.447962648,307.5059623,1.191227984,281.8603232,298.1175044,0.472522706,290.9236481,307.1808293,0.420483569,1.24052952,0.588739694
35,Sympetrum,striolatum,Free Mass Scaling,Porto,68.63525477,3.668902798,0.301115292,322.9080376,0.096081436,0.011777051,0.772825699,0.074886673,7.475012232,2.766513852,312.4603526,1.573227785,127.6322889,142.8920576,0.451139463,151.2248216,166.4845903,0.2898498,1.691689393,0.393208331
36,Sympetrum,striolatum,Free Mass Scaling,Jaca,20.51618294,4.288450067,0.351849691,322.4828361,0.044015016,0.00820733,1.087085206,0.121494793,3.476233926,0.667046997,308.5699041,1.205657665,-8.17355525,7.517167851,0.207492777,3.290566395,18.9812895,0.11144256,1.358555372,0.208021493
